store_no,next_store,arrive_time,next_arrive_time,multi_turn,next_multi_turn,box_number_ex,drive_time,service_time,service_time_method
243812,187323,2140,2150,1,1,12,0.4,9.6,original
187323,910703,2150,2220,1,1,14,15.9,14.1,original
910703,250636,2220,2230,1,1,12,3.4,6.6,original
250636,967282,2230,2240,1,1,10,1.6,8.4,original
967282,209982,2240,2250,1,1,6,1.4,8.6,original
209982,235626,2250,2300,1,1,12,6.5,3.5,original
235626,243317,2300,2305,1,1,16,3.8,1.2,original
243317,137524,2305,2315,1,1,8,10.8,-0.8,original
137524,210029,2315,2325,1,1,12,1.6,8.4,original
210029,167514,2325,110,1,2,10,27.7,2.5,estimated_by_box
167514,146540,110,115,2,2,12,3.1,1.9,original
146540,253163,115,125,2,2,16,8.4,1.6,original
253163,199603,125,130,2,2,10,1.1,3.9,original
199603,180207,130,135,2,2,16,1.1,3.9,original
180207,941752,135,200,2,2,14,13.5,11.5,original
941752,118523,200,210,2,2,18,1.6,8.4,original
118523,933050,210,220,2,2,16,4.2,5.8,original
933050,189031,220,230,2,2,12,1.2,8.8,original
189031,257811,230,2200,2,1,10,27,2.5,estimated_by_box
257811,197087,2200,2210,1,1,8,28.7,5,original
197087,264347,2210,2215,1,1,12,5,0,original
264347,250991,2215,2220,1,1,15,4.5,0.5,original
250991,230322,2220,2230,1,1,24,29,6,original
230322,240776,2230,2235,1,1,12,33.3,1,original
240776,976389,2235,2245,1,1,12,6.8,5,original
976389,284330,2245,2310,1,1,15,26.6,3,original
284330,206983,2310,2315,1,1,12,2.8,2.2,original
206983,266882,2315,2320,1,1,15,0.6,4.4,original
266882,136864,2320,2325,1,1,15,3.3,1.7,original
136864,284824,2325,2335,1,1,18,4.2,5.8,original
284824,241931,2335,30,1,1,18,14.3,6,original
241931,261474,30,35,1,1,15,0.3,4.7,original
261474,153593,35,40,1,1,15,1.8,3.2,original
153593,,40,,1,,18,,4.4,estimated_by_box
